,price,bedrooms,bathrooms,sf,link,year_built,lot_size,view_description,on_waterfront,house_style,new_construction,garage_spaces
0,"$114,000", 3,1 ba,"1,167 sqft",https://www.zillow.com/homedetails/114-Main-St-Concord-VT-05824/126997760_zpid/,1877,"69,696 Acres",{}, Yes, Cape, No, 1
0,"$425,000", 2,2 ba,"2,685 sqft",https://www.zillow.com/homedetails/968-Route-30-Dr-Dorset-VT-05251/2079258190_zpid/,1910,"23,958 Acres", Mountain(s),{}," Antique,Contemporary,Historic Vintage,New Englander", No, 2
0,"$275,000", 4,2 ba,"1,144 sqft",https://www.zillow.com/homedetails/106-Maslack-Dr-Poultney-VT-05764/75454683_zpid/,1954,"1,563,804 Acres", Mountain(s), Yes, Farmhouse, No, 0
0,"$299,000", 4,3 ba,"2,832 sqft",https://www.zillow.com/homedetails/87-Killington-Ave-Rutland-VT-05701/92018725_zpid/,1908,"40,511 Acres", Mountain(s),{}, Farmhouse, No, 4
0,"$240,000", 4,3 ba,{},https://www.zillow.com/homedetails/97-School-St-Wallingford-VT-05773/75457817_zpid/,1879,"10,890 Acres",{},{}, Colonial, No, 2
0,"$549,500", 4,4 ba,"3,936 sqft",https://www.zillow.com/homedetails/109-Cheney-Hill-Rd-7-Rutland-VT-05701/2076567361_zpid/,1986,"135,036 Acres", Mountain(s),{}, Contemporary, No, 3
0,"$349,900", 3,2 ba,"1,800 sqft",https://www.zillow.com/homedetails/4515-Town-Hill-Rd-Wolcott-VT-05680/92006538_zpid/,2000,"723,096 Acres", Mountain(s),{}, Ranch, No, 2
0,"$179,000", 3,2 ba,"2,375 sqft",https://www.zillow.com/homedetails/122-On-the-green-Rd-Poultney-VT-05764/2089307846_zpid/,1890,"43,560 Acres",{},{}, Colonial, No, 0
0,"$209,000", 4,2 ba,"1,632 sqft",https://www.zillow.com/homedetails/125-Whitmore-Brook-Rd-Chester-VT-05143/2112573116_zpid/,1972,"87,120 Acres",{},{}," Chalet,Contemporary", No, 0
0,"$329,000", 4,1 ba,"1,478 sqft",https://www.zillow.com/homedetails/188-Cottage-Grv-Burlington-VT-05408/12649296_zpid/,1948,"10,454 Acres",{},{}, Cape, No, 1
0,"$325,000", 7,5 ba,"4,569 sqft",https://www.zillow.com/homedetails/1873-Main-St-Cavendish-VT-05142/303987509_zpid/,1860,"40,511 Acres", Mountain(s),{}, Victorian, No, 2
0,"$110,000", 2,1 ba,-- sqft,https://www.zillow.com/homedetails/1734-N-Church-Rd-Danville-VT-05828/75428499_zpid/,2012,"385,506 Acres", Mountain(s),{}, Cottage/Camp, No, 0
0,"$264,000", 4,2 ba,"2,258 sqft",https://www.zillow.com/homedetails/79-Clarina-Nichols-Ln-White-River-Junction-VT-05001/303989494_zpid/,1980,$445/mo,{},{}, Contemporary, No, 2
0,"$289,000", 2,2 ba,"1,808 sqft",https://www.zillow.com/homedetails/2498-Ayers-Hill-Rd-Enosburg-Falls-VT-05450/243806572_zpid/,2004,"217,800 Acres",{},{}," Cape,Chalet", No, 6
0,"$289,900", 3,1 ba,"2,260 sqft",https://www.zillow.com/homedetails/536-Knipes-Dr-North-Clarendon-VT-05759/2134467530_zpid/,2004,"223,898 Acres",{},{}, Raised Ranch, No, 1
0,"$144,500", 3,2 ba,"1,040 sqft",https://www.zillow.com/homedetails/27-Stratton-Rd-Rutland-VT-05701/92022674_zpid/,1885,"12,197 Acres",{},{}, New Englander, No, 1
